Year,Month,Monthly_Anomaly,Monthly_Unc,Annual_Anomaly,Annual_Unc,FiveYear_Anomaly,FiveYear_Unc,TenYear_Anomaly,TenYear_Unc,TwentyYear_Anomaly,TwentyYear_Unc
1856,5,-0.334,0.277,-0.406,0.162,-0.363,0.107,-0.343,0.119,,
1856,6,-0.121,0.299,-0.396,0.163,-0.366,0.108,-0.344,0.118,,
1856,7,-0.236,0.186,-0.441,0.166,-0.363,0.109,-0.345,0.118,,
1856,8,-0.512,0.333,-0.454,0.141,-0.358,0.106,-0.344,0.116,,
1856,9,-0.711,0.32,-0.473,0.138,-0.357,0.104,-0.344,0.115,,
1856,10,-0.677,0.212,-0.507,0.142,-0.351,0.103,-0.347,0.113,,
1856,11,-0.575,0.276,-0.542,0.144,-0.346,0.103,-0.345,0.11,,
1856,12,-0.426,0.323,-0.577,0.149,-0.34,0.102,-0.347,0.108,,
1857,1,-0.507,0.401,-0.598,0.156,-0.343,0.101,-0.353,0.107,,
1857,2,-0.542,0.313,-0.592,0.153,-0.346,0.1,-0.355,0.105,,
1857,3,-0.629,0.239,-0.573,0.147,-0.35,0.1,-0.354,0.104,,
1857,4,-0.815,0.264,-0.561,0.152,-0.356,0.097,-0.354,0.103,,
1857,5,-0.751,0.263,-0.555,0.159,-0.356,0.095,-0.355,0.101,,
1857,6,-0.546,0.258,-0.538,0.167,-0.354,0.098,-0.357,0.099,,
1857,7,-0.487,0.27,-0.513,0.159,-0.358,0.096,-0.36,0.098,,
1857,8,-0.446,0.296,-0.508,0.16,-0.362,0.1,-0.361,0.098,,
1857,9,-0.477,0.28,-0.482,0.161,-0.369,0.102,-0.363,0.098,,
1857,10,-0.529,0.268,-0.437,0.157,-0.372,0.104,-0.365,0.097,,
1857,11,-0.502,0.3,-0.408,0.15,-0.372,0.101,-0.365,0.095,,
1857,12,-0.223,0.258,-0.384,0.15,-0.37,0.101,-0.373,0.096,,
1858,1,-0.21,0.356,-0.37,0.145,-0.368,0.098,-0.372,0.094,,
1858,2,-0.489,0.268,-0.359,0.135,-0.368,0.098,-0.37,0.091,,
1858,3,-0.307,0.25,-0.359,0.132,-0.365,0.098,-0.37,0.09,,
1858,4,-0.279,0.243,-0.339,0.13,-0.366,0.097,-0.37,0.088,,
1858,5,-0.406,0.222,-0.312,0.124,-0.368,0.099,-0.369,0.087,,
1858,6,-0.255,0.227,-0.334,0.128,-0.374,0.103,-0.371,0.086,,
1858,7,-0.313,0.214,-0.346,0.126,-0.391,0.106,-0.374,0.086,,
1858,8,-0.317,0.194,-0.329,0.127,-0.395,0.102,-0.377,0.086,,
1858,9,-0.482,0.223,-0.324,0.12,-0.398,0.103,-0.378,0.087,,
1858,10,-0.282,0.237,-0.3,0.111,-0.399,0.101,-0.378,0.086,,
1858,11,-0.178,0.253,-0.264,0.111,-0.401,0.1,-0.375,0.086,,
1858,12,-0.492,0.279,-0.252,0.107,-0.405,0.101,-0.375,0.087,,
1859,1,-0.348,0.313,-0.252,0.105,-0.406,0.1,-0.375,0.087,,
1859,2,-0.294,0.273,-0.255,0.106,-0.401,0.098,-0.373,0.088,,
1859,3,-0.24,0.271,-0.258,0.106,-0.396,0.097,-0.374,0.088,,
1859,4,0.011,0.226,-0.255,0.108,-0.393,0.096,-0.375,0.089,,
1859,5,0.017,0.214,-0.256,0.109,-0.387,0.095,-0.374,0.089,,
1859,6,-0.112,0.185,-0.222,0.105,-0.386,0.096,-0.371,0.089,,
1859,7,-0.308,0.211,-0.221,0.105,-0.392,0.096,-0.371,0.089,,
1859,8,-0.349,0.207,-0.222,0.11,-0.396,0.096,-0.372,0.089,,
1859,9,-0.522,0.199,-0.26,0.119,-0.395,0.097,-0.374,0.089,,
1859,10,-0.241,0.244,-0.284,0.121,-0.391,0.097,-0.378,0.089,,
1859,11,-0.192,0.27,-0.303,0.122,-0.383,0.096,-0.379,0.088,,
1859,12,-0.089,0.503,-0.311,0.121,-0.379,0.095,-0.381,0.088,-0.325,0.103
1860,1,-0.328,0.321,-0.307,0.123,-0.377,0.094,-0.38,0.088,-0.323,0.103
1860,2,-0.31,0.342,-0.295,0.128,-0.377,0.093,-0.382,0.089,-0.324,0.103
1860,3,-0.694,0.269,-0.276,0.133,-0.378,0.094,-0.383,0.09,-0.324,0.103
1860,4,-0.278,0.221,-0.285,0.139,-0.377,0.093,-0.386,0.091,-0.323,0.102
1860,5,-0.217,0.23,-0.314,0.142,-0.378,0.092,-0.386,0.091,-0.321,0.101
1860,6,-0.199,0.179,-0.378,0.131,-0.389,0.093,-0.386,0.091,-0.32,0.1
1860,7,-0.26,0.259,-0.434,0.141,-0.387,0.094,-0.384,0.091,-0.32,0.1
1860,8,-0.209,0.212,-0.463,0.14,-0.381,0.093,-0.384,0.092,-0.32,0.099
1860,9,-0.294,0.209,-0.454,0.135,-0.382,0.093,-0.382,0.093,-0.319,0.099
1860,10,-0.354,0.207,-0.467,0.133,-0.381,0.093,-0.381,0.093,-0.318,0.099
1860,11,-0.533,0.286,-0.487,0.134,-0.378,0.092,-0.379,0.093,-0.317,0.098
1860,12,-0.861,0.374,-0.501,0.141,-0.38,0.092,-0.379,0.094,-0.317,0.099
1861,1,-1.004,0.49,-0.505,0.15,-0.381,0.092,-0.379,0.094,-0.319,0.098
1861,2,-0.658,0.322,-0.505,0.152,-0.381,0.093,-0.379,0.093,-0.32,0.098
1861,3,-0.583,0.248,-0.514,0.155,-0.382,0.094,-0.379,0.094,-0.319,0.097
1861,4,-0.438,0.279,-0.524,0.151,-0.385,0.095,-0.38,0.095,-0.316,0.096
1861,5,-0.448,0.214,-0.498,0.139,-0.388,0.096,-0.38,0.095,-0.316,0.094
1861,6,-0.369,0.213,-0.455,0.13,-0.385,0.097,-0.381,0.095,-0.316,0.094
1861,7,-0.313,0.224,-0.448,0.128,-0.387,0.099,-0.378,0.096,-0.316,0.094
1861,8,-0.199,0.21,-0.457,0.131,-0.389,0.101,-0.376,0.096,-0.315,0.094
1861,9,-0.412,0.219,-0.454,0.129,-0.392,0.103,-0.372,0.096,-0.315,0.093
1861,10,-0.475,0.212,-0.465,0.129,-0.399,0.104,-0.369,0.096,-0.316,0.093
1861,11,-0.216,0.263,-0.452,0.131,-0.401,0.105,-0.365,0.097,-0.316,0.091
1861,12,-0.351,0.264,-0.448,0.131,-0.401,0.106,-0.36,0.097,-0.318,0.091
1862,1,-0.918,0.348,-0.449,0.131,-0.399,0.106,-0.357,0.097,-0.318,0.09
1862,2,-0.766,0.33,-0.473,0.134,-0.399,0.107,-0.356,0.097,-0.318,0.089
1862,3,-0.545,0.261,-0.484,0.136,-0.398,0.108,-0.353,0.098,-0.316,0.088
1862,4,-0.568,0.247,-0.483,0.138,-0.4,0.109,-0.347,0.098,-0.316,0.088
1862,5,-0.294,0.225,-0.511,0.142,-0.403,0.11,-0.344,0.098,-0.316,0.087
1862,6,-0.315,0.217,-0.554,0.143,-0.409,0.109,-0.341,0.098,-0.316,0.087
1862,7,-0.33,0.207,-0.487,0.139,-0.402,0.11,-0.339,0.098,-0.317,0.086
1862,8,-0.491,0.209,-0.435,0.138,-0.402,0.11,-0.337,0.098,-0.316,0.086
1862,9,-0.543,0.223,-0.417,0.142,-0.398,0.11,-0.334,0.098,-0.315,0.086
1862,10,-0.46,0.251,-0.391,0.151,-0.399,0.111,-0.33,0.099,-0.315,0.086
1862,11,-0.556,0.285,-0.385,0.145,-0.4,0.112,-0.324,0.098,-0.315,0.085
1862,12,-0.862,0.302,-0.387,0.146,-0.401,0.113,-0.323,0.098,-0.317,0.085
1863,1,-0.117,0.38,-0.39,0.15,-0.4,0.114,-0.326,0.098,-0.317,0.084
1863,2,-0.133,0.47,-0.38,0.151,-0.4,0.115,-0.327,0.099,-0.316,0.084
1863,3,-0.334,0.239,-0.376,0.157,-0.399,0.115,-0.327,0.099,-0.316,0.084
1863,4,-0.26,0.29,-0.375,0.156,-0.396,0.115,-0.326,0.099,-0.316,0.084
1863,5,-0.223,0.213,-0.36,0.162,-0.39,0.115,-0.323,0.099,-0.316,0.083
1863,6,-0.339,0.22,-0.313,0.16,-0.384,0.115,-0.322,0.099,-0.317,0.083
1863,7,-0.357,0.221,-0.344,0.164,-0.367,0.114,-0.319,0.099,-0.317,0.083
1863,8,-0.373,0.238,-0.366,0.157,-0.362,0.114,-0.317,0.1,-0.318,0.083
1863,9,-0.498,0.248,-0.374,0.161,-0.36,0.114,-0.315,0.1,-0.318,0.083
1863,10,-0.452,0.249,-0.386,0.16,-0.361,0.115,-0.312,0.1,-0.317,0.083
1863,11,-0.374,0.278,-0.378,0.162,-0.359,0.115,-0.314,0.101,-0.316,0.083
1863,12,-0.293,0.294,-0.358,0.164,-0.357,0.115,-0.311,0.101,-0.315,0.082
1864,1,-0.491,0.431,-0.343,0.16,-0.35,0.115,-0.31,0.101,-0.314,0.082
1864,2,-0.403,0.366,-0.34,0.16,-0.351,0.116,-0.307,0.101,-0.312,0.082
1864,3,-0.426,0.3,-0.34,0.157,-0.349,0.117,-0.309,0.101,-0.314,0.082
1864,4,-0.402,0.26,-0.33,0.153,-0.345,0.118,-0.311,0.102,-0.314,0.082
1864,5,-0.131,0.219,-0.332,0.152,-0.342,0.118,-0.313,0.102,-0.314,0.082
1864,6,-0.089,0.209,-0.345,0.15,-0.335,0.119,-0.313,0.102,-0.313,0.082
1864,7,-0.187,0.217,-0.298,0.145,-0.322,0.119,-0.313,0.102,-0.313,0.082
1864,8,-0.338,0.241,-0.29,0.142,-0.315,0.119,-0.311,0.102,-0.313,0.082
1864,9,-0.488,0.23,-0.289,0.137,-0.311,0.119,-0.308,0.102,-0.313,0.082
1864,10,-0.343,0.237,-0.287,0.137,-0.303,0.12,-0.308,0.102,-0.315,0.081
1864,11,-0.389,0.307,-0.299,0.137,-0.305,0.121,-0.308,0.103,-0.316,0.081
1864,12,-0.456,0.252,-0.313,0.139,-0.303,0.122,-0.31,0.102,-0.316,0.081
1865,1,0.075,0.322,-0.313,0.141,-0.301,0.122,-0.31,0.102,-0.318,0.08
1865,2,-0.305,0.302,-0.301,0.144,-0.297,0.123,-0.312,0.102,-0.319,0.081
1865,3,-0.416,0.287,-0.279,0.148,-0.29,0.124,-0.309,0.102,-0.32,0.08
1865,4,-0.382,0.262,-0.268,0.151,-0.282,0.126,-0.308,0.102,-0.321,0.081
1865,5,-0.269,0.216,-0.25,0.156,-0.269,0.126,-0.308,0.102,-0.321,0.08
1865,6,-0.263,0.198,-0.251,0.164,-0.257,0.124,-0.307,0.102,-0.321,0.08
1865,7,-0.187,0.237,-0.256,0.169,-0.264,0.124,-0.306,0.103,-0.32,0.08
1865,8,-0.194,0.224,-0.26,0.177,-0.272,0.124,-0.306,0.103,-0.32,0.08
1865,9,-0.222,0.247,-0.263,0.181,-0.272,0.125,-0.306,0.103,-0.319,0.08
1865,10,-0.205,0.263,-0.274,0.188,-0.27,0.125,-0.305,0.103,-0.319,0.08
1865,11,-0.169,0.319,-0.281,0.188,-0.267,0.125,-0.304,0.103,-0.32,0.08
1865,12,-0.479,0.32,-0.28,0.188,-0.264,0.126,-0.301,0.103,-0.319,0.079
1866,1,0.025,0.369,-0.255,0.193,-0.257,0.126,-0.297,0.103,-0.321,0.079
1866,2,-0.359,0.409,-0.258,0.191,-0.252,0.125,-0.297,0.103,-0.321,0.079
1866,3,-0.454,0.358,-0.265,0.192,-0.248,0.124,-0.294,0.103,-0.32,0.079
1866,4,-0.511,0.271,-0.268,0.192,-0.24,0.123,-0.291,0.102,-0.32,0.078
1866,5,-0.352,0.228,-0.258,0.181,-0.239,0.123,-0.29,0.102,-0.32,0.078
1866,6,-0.251,0.188,-0.211,0.176,-0.237,0.122,-0.288,0.101,-0.321,0.078
1866,7,0.111,0.25,-0.226,0.174,-0.232,0.122,-0.287,0.101,-0.321,0.079
1866,8,-0.224,0.254,-0.224,0.166,-0.225,0.12,-0.287,0.101,-0.32,0.078
1866,9,-0.307,0.236,-0.209,0.161,-0.226,0.12,-0.287,0.1,-0.319,0.078
1866,10,-0.248,0.261,-0.178,0.159,-0.224,0.119,-0.285,0.1,-0.317,0.078
1866,11,-0.051,0.251,-0.181,0.161,-0.225,0.119,-0.287,0.1,-0.316,0.078
1866,12,0.089,0.257,-0.177,0.161,-0.226,0.12,-0.288,0.1,-0.317,0.078
1867,1,-0.153,0.342,-0.203,0.156,-0.227,0.121,-0.284,0.1,-0.316,0.078
1867,2,-0.333,0.342,-0.206,0.158,-0.224,0.121,-0.281,0.1,-0.314,0.079
1867,3,-0.285,0.277,-0.193,0.156,-0.218,0.121,-0.279,0.099,-0.311,0.079
1867,4,-0.139,0.274,-0.17,0.156,-0.215,0.121,-0.277,0.099,-0.308,0.078
1867,5,-0.387,0.205,-0.145,0.153,-0.212,0.12,-0.276,0.099,-0.305,0.078
1867,6,-0.202,0.185,-0.166,0.152,-0.211,0.12,-0.276,0.099,-0.303,0.078
1867,7,-0.192,0.24,-0.196,0.153,-0.218,0.119,-0.274,0.098,-0.301,0.078
1867,8,-0.269,0.239,-0.222,0.155,-0.221,0.119,-0.27,0.098,-0.298,0.078
1867,9,-0.143,0.221,-0.224,0.152,-0.219,0.117,-0.267,0.097,-0.295,0.078
1867,10,0.018,0.262,-0.223,0.156,-0.218,0.117,-0.265,0.097,-0.292,0.078
1867,11,0.25,0.399,-0.197,0.16,-0.216,0.117,-0.264,0.098,-0.289,0.078
1867,12,-0.162,0.487,-0.191,0.16,-0.213,0.116,-0.261,0.098,-0.289,0.078
1868,1,-0.504,0.354,-0.17,0.156,-0.212,0.115,-0.262,0.097,-0.288,0.078
1868,2,-0.651,0.253,-0.153,0.156,-0.213,0.114,-0.262,0.098,-0.284,0.078
1868,3,-0.31,0.256,-0.163,0.159,-0.213,0.112,-0.261,0.097,-0.28,0.078
1868,4,-0.119,0.276,-0.164,0.166,-0.215,0.111,-0.263,0.097,-0.278,0.077
1868,5,-0.085,0.23,-0.212,0.146,-0.217,0.111,-0.263,0.097,-0.277,0.077
1868,6,-0.123,0.187,-0.211,0.139,-0.219,0.11,-0.262,0.097,-0.275,0.077
1868,7,0.054,0.21,-0.186,0.133,-0.228,0.11,-0.261,0.097,-0.273,0.077
1868,8,-0.062,0.204,-0.129,0.138,-0.232,0.111,-0.259,0.096,-0.271,0.077
1868,9,-0.258,0.209,-0.146,0.139,-0.229,0.11,-0.258,0.095,-0.27,0.077
1868,10,0.001,0.202,-0.158,0.138,-0.221,0.11,-0.256,0.095,-0.269,0.077
1868,11,-0.326,0.247,-0.164,0.134,-0.22,0.109,-0.256,0.094,-0.268,0.078
1868,12,-0.143,0.249,-0.169,0.135,-0.22,0.109,-0.255,0.093,-0.266,0.078
1869,1,-0.212,0.278,-0.193,0.132,-0.224,0.109,-0.253,0.093,-0.265,0.077
1869,2,0.04,0.473,-0.203,0.13,-0.223,0.108,-0.251,0.092,-0.265,0.077
1869,3,-0.517,0.282,-0.188,0.128,-0.225,0.107,-0.253,0.092,-0.264,0.077
1869,4,-0.259,0.241,-0.206,0.125,-0.225,0.107,-0.253,0.091,-0.265,0.077
1869,5,-0.166,0.194,-0.195,0.122,-0.233,0.107,-0.253,0.092,-0.267,0.077
1869,6,-0.18,0.284,-0.218,0.117,-0.241,0.107,-0.255,0.092,-0.267,0.077
1869,7,-0.231,0.205,-0.225,0.119,-0.246,0.105,-0.256,0.092,-0.267,0.077
1869,8,-0.185,0.223,-0.269,0.13,-0.247,0.105,-0.255,0.092,-0.266,0.077
1869,9,-0.083,0.208,-0.254,0.126,-0.248,0.104,-0.252,0.092,-0.265,0.077
1869,10,-0.213,0.201,-0.255,0.13,-0.251,0.102,-0.252,0.091,-0.265,0.077
1869,11,-0.195,0.191,-0.257,0.131,-0.248,0.101,-0.252,0.091,-0.265,0.077
1869,12,-0.412,0.208,-0.25,0.121,-0.249,0.101,-0.251,0.09,-0.267,0.077
1870,1,-0.304,0.254,-0.238,0.114,-0.247,0.099,-0.255,0.09,-0.267,0.077
1870,2,-0.483,0.277,-0.245,0.112,-0.243,0.098,-0.256,0.09,-0.268,0.077
1870,3,-0.34,0.247,-0.255,0.109,-0.244,0.097,-0.256,0.089,-0.266,0.077
1870,4,-0.271,0.21,-0.264,0.113,-0.248,0.097,-0.256,0.089,-0.266,0.077
1870,5,-0.193,0.203,-0.274,0.12,-0.259,0.096,-0.256,0.088,-0.266,0.077
1870,6,-0.087,0.175,-0.288,0.121,-0.264,0.096,-0.256,0.088,-0.267,0.077
1870,7,-0.087,0.184,-0.308,0.124,-0.261,0.093,-0.256,0.088,-0.267,0.077
1870,8,-0.276,0.182,-0.318,0.125,-0.251,0.088,-0.257,0.087,-0.267,0.077
1870,9,-0.199,0.196,-0.311,0.124,-0.251,0.087,-0.257,0.086,-0.267,0.077
1870,10,-0.321,0.183,-0.293,0.12,-0.256,0.087,-0.257,0.086,-0.267,0.077
1870,11,-0.323,0.283,-0.3,0.117,-0.259,0.086,-0.26,0.086,-0.265,0.077
1870,12,-0.569,0.213,-0.311,0.12,-0.261,0.086,-0.26,0.085,-0.263,0.077
1871,1,-0.545,0.276,-0.316,0.121,-0.264,0.084,-0.263,0.084,-0.259,0.077
1871,2,-0.605,0.316,-0.309,0.122,-0.266,0.084,-0.263,0.084,-0.257,0.077
1871,3,-0.259,0.203,-0.325,0.123,-0.268,0.084,-0.261,0.084,-0.255,0.077
1871,4,-0.059,0.191,-0.319,0.124,-0.271,0.083,-0.259,0.084,-0.253,0.076
1871,5,-0.276,0.188,-0.336,0.119,-0.272,0.082,-0.261,0.083,-0.251,0.076
1871,6,-0.215,0.191,-0.321,0.118,-0.273,0.082,-0.261,0.083,-0.251,0.076
1871,7,-0.147,0.198,-0.313,0.115,-0.273,0.081,-0.264,0.083,-0.251,0.076
1871,8,-0.188,0.182,-0.296,0.11,-0.278,0.08,-0.264,0.082,-0.25,0.076
1871,9,-0.395,0.185,-0.304,0.112,-0.28,0.079,-0.265,0.082,-0.25,0.075
1871,10,-0.242,0.189,-0.328,0.112,-0.281,0.079,-0.265,0.081,-0.249,0.075
1871,11,-0.536,0.273,-0.32,0.112,-0.282,0.079,-0.268,0.081,-0.25,0.075
1871,12,-0.388,0.219,-0.323,0.111,-0.284,0.078,-0.274,0.081,-0.249,0.075
1872,1,-0.45,0.322,-0.32,0.107,-0.285,0.078,-0.275,0.08,-0.245,0.075
1872,2,-0.401,0.271,-0.307,0.107,-0.285,0.078,-0.273,0.079,-0.242,0.075
1872,3,-0.347,0.213,-0.29,0.106,-0.286,0.078,-0.27,0.079,-0.24,0.075
1872,4,-0.352,0.215,-0.286,0.106,-0.288,0.078,-0.27,0.078,-0.239,0.075
1872,5,-0.177,0.181,-0.277,0.102,-0.291,0.078,-0.267,0.078,-0.238,0.075
1872,6,-0.256,0.164,-0.285,0.1,-0.29,0.077,-0.266,0.077,-0.239,0.074
1872,7,-0.107,0.182,-0.273,0.097,-0.293,0.077,-0.263,0.076,-0.239,0.074
1872,8,-0.035,0.187,-0.246,0.097,-0.29,0.075,-0.259,0.076,-0.238,0.074
1872,9,-0.187,0.187,-0.239,0.095,-0.292,0.075,-0.256,0.076,-0.236,0.074
1872,10,-0.198,0.181,-0.247,0.095,-0.294,0.075,-0.255,0.076,-0.236,0.074
1872,11,-0.421,0.266,-0.254,0.097,-0.295,0.074,-0.255,0.075,-0.235,0.074
1872,12,-0.486,0.265,-0.25,0.099,-0.298,0.074,-0.254,0.074,-0.234,0.074
1873,1,-0.305,0.253,-0.255,0.099,-0.3,0.074,-0.25,0.073,-0.235,0.074
1873,2,-0.077,0.264,-0.264,0.101,-0.3,0.074,-0.241,0.07,-0.236,0.073
1873,3,-0.263,0.185,-0.279,0.107,-0.301,0.074,-0.234,0.07,-0.235,0.073
1873,4,-0.451,0.215,-0.283,0.106,-0.299,0.074,-0.23,0.069,-0.236,0.073
1873,5,-0.266,0.184,-0.276,0.102,-0.303,0.073,-0.23,0.069,-0.236,0.073
1873,6,-0.201,0.173,-0.254,0.099,-0.302,0.073,-0.228,0.068,-0.235,0.073
1873,7,-0.168,0.175,-0.246,0.098,-0.299,0.071,-0.228,0.068,-0.234,0.073
1873,8,-0.144,0.176,-0.262,0.095,-0.293,0.07,-0.226,0.067,-0.234,0.072
1873,9,-0.372,0.216,-0.292,0.097,-0.293,0.07,-0.224,0.067,-0.234,0.072
1873,10,-0.237,0.172,-0.284,0.095,-0.297,0.07,-0.225,0.067,-0.233,0.072
1873,11,-0.339,0.198,-0.279,0.096,-0.301,0.069,-0.222,0.067,-0.234,0.071
1873,12,-0.224,0.23,-0.289,0.098,-0.303,0.069,-0.222,0.066,-0.234,0.071
1874,1,-0.211,0.249,-0.296,0.1,-0.303,0.069,-0.221,0.066,-0.232,0.071
1874,2,-0.263,0.198,-0.299,0.103,-0.305,0.068,-0.223,0.066,-0.232,0.071
1874,3,-0.624,0.167,-0.281,0.104,-0.305,0.068,-0.219,0.065,-0.232,0.07
1874,4,-0.355,0.183,-0.288,0.104,-0.305,0.068,-0.22,0.065,-0.233,0.07
1874,5,-0.211,0.243,-0.294,0.104,-0.304,0.068,-0.22,0.065,-0.234,0.07
1874,6,-0.314,0.17,-0.302,0.096,-0.307,0.068,-0.22,0.064,-0.236,0.07
1874,7,-0.257,0.196,-0.323,0.097,-0.304,0.068,-0.22,0.064,-0.238,0.07
1874,8,-0.175,0.189,-0.331,0.096,-0.299,0.068,-0.221,0.064,-0.238,0.069
1874,9,-0.167,0.181,-0.316,0.098,-0.292,0.068,-0.223,0.064,-0.238,0.069
1874,10,-0.311,0.178,-0.318,0.097,-0.288,0.068,-0.222,0.064,-0.239,0.069
1874,11,-0.419,0.172,-0.323,0.092,-0.286,0.068,-0.222,0.064,-0.24,0.069
1874,12,-0.312,0.22,-0.319,0.091,-0.283,0.068,-0.223,0.064,-0.24,0.069
1875,1,-0.465,0.215,-0.315,0.089,-0.279,0.068,-0.224,0.064,-0.243,0.069
1875,2,-0.362,0.2,-0.322,0.087,-0.274,0.068,-0.224,0.063,-0.244,0.069
1875,3,-0.445,0.174,-0.331,0.087,-0.268,0.069,-0.223,0.063,-0.243,0.068
1875,4,-0.374,0.185,-0.321,0.088,-0.262,0.069,-0.224,0.063,-0.244,0.068
1875,5,-0.273,0.168,-0.334,0.09,-0.251,0.069,-0.224,0.063,-0.245,0.068
